,id,data,timestamp,deviceId
0,44525,"{""step_counter"": 3644, ""step_activity"": 2}",2021-03-31 21:00:00,5206
1,44526,"{""step_counter"": 3427, ""step_activity"": 2}",2021-04-01 21:00:00,5206
2,44527,"{""step_counter"": 2588, ""step_activity"": 2}",2021-04-02 21:00:00,5206
3,44528,"{""step_counter"": 550, ""step_activity"": 2}",2021-04-03 21:00:00,5206
4,44529,"{""step_counter"": 2315, ""step_activity"": 2}",2021-04-04 21:00:00,5206
5,44530,"{""step_counter"": 17204, ""step_activity"": 2}",2021-04-05 21:00:00,5206
6,44531,"{""step_counter"": 14850, ""step_activity"": 2}",2021-04-06 21:00:00,5206
7,44532,"{""step_counter"": 13967, ""step_activity"": 2}",2021-04-07 21:00:00,5206
8,44533,"{""step_counter"": 14595, ""step_activity"": 2}",2021-04-08 21:00:00,5206
9,44534,"{""step_counter"": 11624, ""step_activity"": 2}",2021-04-09 21:00:00,5206
10,44535,"{""step_counter"": 9510, ""step_activity"": 2}",2021-04-10 21:00:00,5206
11,44536,"{""step_counter"": 12486, ""step_activity"": 2}",2021-04-11 21:00:00,5206
12,44537,"{""step_counter"": 5701, ""step_activity"": 2}",2021-04-12 21:00:00,5206
13,44538,"{""step_counter"": 8225, ""step_activity"": 2}",2021-04-13 21:00:00,5206
14,44539,"{""step_counter"": 6995, ""step_activity"": 2}",2021-04-14 21:00:00,5206
15,44540,"{""step_counter"": 9185, ""step_activity"": 2}",2021-04-15 21:00:00,5206
16,44541,"{""step_counter"": 3777, ""step_activity"": 2}",2021-04-16 21:00:00,5206
17,44542,"{""step_counter"": 5759, ""step_activity"": 2}",2021-04-17 21:00:00,5206
18,44543,"{""step_counter"": 7470, ""step_activity"": 2}",2021-04-18 21:00:00,5206
19,44544,"{""step_counter"": 5862, ""step_activity"": 2}",2021-04-19 21:00:00,5206
20,44545,"{""step_counter"": 5708, ""step_activity"": 2}",2021-04-20 21:00:00,5206
21,44546,"{""step_counter"": 5644, ""step_activity"": 2}",2021-04-21 21:00:00,5206
22,44547,"{""step_counter"": 2568, ""step_activity"": 2}",2021-04-22 21:00:00,5206
23,44548,"{""step_counter"": 1962, ""step_activity"": 2}",2021-04-23 21:00:00,5206
24,44549,"{""step_counter"": 1369, ""step_activity"": 2}",2021-04-24 21:00:00,5206
25,44550,"{""step_counter"": 5386, ""step_activity"": 2}",2021-04-25 21:00:00,5206
26,49001,"{""step_counter"": 450, ""step_activity"": 2}",2021-04-26 21:00:00,5206
27,49002,"{""step_counter"": 15, ""step_activity"": 2}",2021-05-04 21:00:00,5206
28,49003,"{""step_counter"": 12406, ""step_activity"": 2}",2021-05-05 21:00:00,5206
29,49004,"{""step_counter"": 12781, ""step_activity"": 2}",2021-05-06 21:00:00,5206
30,49005,"{""step_counter"": 16482, ""step_activity"": 2}",2021-05-07 21:00:00,5206
31,49006,"{""step_counter"": 14748, ""step_activity"": 2}",2021-05-08 21:00:00,5206
32,49007,"{""step_counter"": 15581, ""step_activity"": 2}",2021-05-09 21:00:00,5206
33,49008,"{""step_counter"": 16030, ""step_activity"": 2}",2021-05-10 21:00:00,5206
34,49009,"{""step_counter"": 12703, ""step_activity"": 2}",2021-05-11 21:00:00,5206
35,49010,"{""step_counter"": 3439, ""step_activity"": 2}",2021-05-12 21:00:00,5206
36,49011,"{""step_counter"": 2426, ""step_activity"": 2}",2021-05-13 21:00:00,5206
37,49012,"{""step_counter"": 5098, ""step_activity"": 2}",2021-05-14 21:00:00,5206
38,49013,"{""step_counter"": 3062, ""step_activity"": 2}",2021-05-15 21:00:00,5206
39,49014,"{""step_counter"": 3611, ""step_activity"": 2}",2021-05-16 21:00:00,5206
40,49015,"{""step_counter"": 1247, ""step_activity"": 2}",2021-05-17 21:00:00,5206
41,49016,"{""step_counter"": 4491, ""step_activity"": 2}",2021-05-18 21:00:00,5206
42,49017,"{""step_counter"": 5084, ""step_activity"": 2}",2021-05-19 21:00:00,5206
43,49018,"{""step_counter"": 10, ""step_activity"": 2}",2021-05-20 21:00:00,5206
44,49019,"{""step_counter"": 7515, ""step_activity"": 2}",2021-05-23 21:00:00,5206
45,49020,"{""step_counter"": 4069, ""step_activity"": 2}",2021-05-24 21:00:00,5206
46,49021,"{""step_counter"": 5048, ""step_activity"": 2}",2021-05-25 21:00:00,5206
47,49022,"{""step_counter"": 4390, ""step_activity"": 2}",2021-05-26 21:00:00,5206
48,49023,"{""step_counter"": 3040, ""step_activity"": 2}",2021-05-27 21:00:00,5206
49,49024,"{""step_counter"": 2473, ""step_activity"": 2}",2021-05-28 21:00:00,5206
50,49025,"{""step_counter"": 2942, ""step_activity"": 2}",2021-05-29 21:00:00,5206
51,49026,"{""step_counter"": 806, ""step_activity"": 2}",2021-05-30 21:00:00,5206
52,49049,"{""step_counter"": 58, ""step_activity"": 2}",2021-03-11 22:00:00,5206
53,49050,"{""step_counter"": 7509, ""step_activity"": 2}",2021-03-12 22:00:00,5206
54,52451,"{""step_counter"": 5235, ""step_activity"": 2}",2021-03-13 22:00:00,5206
55,52452,"{""step_counter"": 7805, ""step_activity"": 2}",2021-03-14 22:00:00,5206
56,52453,"{""step_counter"": 6707, ""step_activity"": 2}",2021-03-15 22:00:00,5206
57,52454,"{""step_counter"": 381, ""step_activity"": 2}",2021-03-16 22:00:00,5206
58,52455,"{""step_counter"": 5129, ""step_activity"": 2}",2021-03-17 22:00:00,5206
59,52456,"{""step_counter"": 10846, ""step_activity"": 2}",2021-03-18 22:00:00,5206
60,52457,"{""step_counter"": 4424, ""step_activity"": 2}",2021-03-19 22:00:00,5206
61,52458,"{""step_counter"": 8958, ""step_activity"": 2}",2021-03-20 22:00:00,5206
62,52459,"{""step_counter"": 1941, ""step_activity"": 2}",2021-03-21 22:00:00,5206
63,52460,"{""step_counter"": 3214, ""step_activity"": 2}",2021-03-22 22:00:00,5206
64,52461,"{""step_counter"": 3119, ""step_activity"": 2}",2021-03-23 22:00:00,5206
65,52462,"{""step_counter"": 2887, ""step_activity"": 2}",2021-03-24 22:00:00,5206
66,52463,"{""step_counter"": 5339, ""step_activity"": 2}",2021-03-25 22:00:00,5206
67,52464,"{""step_counter"": 798, ""step_activity"": 2}",2021-03-26 22:00:00,5206
68,52465,"{""step_counter"": 1010, ""step_activity"": 2}",2021-03-27 22:00:00,5206
69,52466,"{""step_counter"": 450, ""step_activity"": 2}",2021-03-28 21:00:00,5206
70,52467,"{""step_counter"": 4859, ""step_activity"": 2}",2021-03-29 21:00:00,5206
71,52468,"{""step_counter"": 6139, ""step_activity"": 2}",2021-03-30 21:00:00,5206
72,52469,"{""step_counter"": 3644, ""step_activity"": 2}",2021-03-31 21:00:00,5206
73,52470,"{""step_counter"": 3427, ""step_activity"": 2}",2021-04-01 21:00:00,5206
74,52471,"{""step_counter"": 2588, ""step_activity"": 2}",2021-04-02 21:00:00,5206
75,52472,"{""step_counter"": 550, ""step_activity"": 2}",2021-04-03 21:00:00,5206
76,52473,"{""step_counter"": 2315, ""step_activity"": 2}",2021-04-04 21:00:00,5206
77,52474,"{""step_counter"": 17204, ""step_activity"": 2}",2021-04-05 21:00:00,5206
78,52475,"{""step_counter"": 14850, ""step_activity"": 2}",2021-04-06 21:00:00,5206
79,52476,"{""step_counter"": 13967, ""step_activity"": 2}",2021-04-07 21:00:00,5206
80,52477,"{""step_counter"": 14595, ""step_activity"": 2}",2021-04-08 21:00:00,5206
81,52478,"{""step_counter"": 11624, ""step_activity"": 2}",2021-04-09 21:00:00,5206
82,52479,"{""step_counter"": 9510, ""step_activity"": 2}",2021-04-10 21:00:00,5206
83,52480,"{""step_counter"": 12486, ""step_activity"": 2}",2021-04-11 21:00:00,5206
84,52481,"{""step_counter"": 5701, ""step_activity"": 2}",2021-04-12 21:00:00,5206
