,id,step_counter,step_activity,timestamp,deviceID
0,102006,192.0,2.0,2021-10-13 10:25:00,11597
1,102152,522.0,2.0,2021-12-01 11:10:00,11597
2,102153,624.0,2.0,2021-12-01 11:15:00,11597
3,102154,624.0,2.0,2021-12-01 11:20:00,11597
4,102155,632.0,2.0,2021-12-01 11:25:00,11597
5,102156,632.0,2.0,2021-12-01 11:30:00,11597
6,102157,622.0,2.0,2021-12-01 11:35:00,11597
7,102158,622.0,2.0,2021-12-01 11:35:00,11597
8,102159,690.0,2.0,2021-12-01 11:45:00,11597
9,102160,528.0,2.0,2021-12-01 11:40:00,11597
10,102161,562.0,2.0,2021-12-01 11:50:00,11597
11,102162,690.0,2.0,2021-12-01 11:45:00,11597
12,102163,574.0,2.0,2021-12-01 11:55:00,11597
13,102164,562.0,2.0,2021-12-01 11:50:00,11597
14,102165,574.0,2.0,2021-12-01 11:55:00,11597
15,102166,672.0,2.0,2021-12-01 12:00:00,11597
16,102167,672.0,2.0,2021-12-01 12:00:00,11597
17,102169,686.0,2.0,2021-12-01 12:20:00,11597
18,102168,686.0,2.0,2021-12-01 12:20:00,11597
19,102170,584.0,2.0,2021-12-01 12:25:00,11597
20,55929,0.0,2.0,2021-06-30 14:21:00,11597
21,55930,0.0,2.0,2021-06-30 14:21:30,11597
22,55931,0.0,2.0,2021-06-30 14:22:00,11597
23,55932,0.0,2.0,2021-06-30 14:22:30,11597
24,55933,0.0,2.0,2021-06-30 14:23:00,11597
25,55934,0.0,2.0,2021-06-30 14:23:30,11597
26,55935,0.0,2.0,2021-06-30 14:24:00,11597
27,55936,0.0,2.0,2021-06-30 14:24:30,11597
28,55937,0.0,2.0,2021-06-30 14:25:00,11597
29,55938,0.0,2.0,2021-06-30 14:25:30,11597
